sigla_uf,id_municipio,nome,numero_candidato,sigla_partido,votos,turno
RO,1100338,Nova Mamoré,15,MDB,165,1
RO,1100338,Nova Mamoré,30,NOVO,81,1
RO,1100338,Nova Mamoré,51,PATRIOTA,55,1
RO,1100338,Nova Mamoré,12,PDT,536,1
RO,1100338,Nova Mamoré,19,PODE,32,1
RO,1100338,Nova Mamoré,54,PPL,1,1
RO,1100338,Nova Mamoré,45,PSDB,558,1
RO,1100338,Nova Mamoré,17,PSL,8238,1
RO,1100338,Nova Mamoré,50,PSOL,30,1
RO,1100338,Nova Mamoré,16,PSTU,4,1
RO,1100338,Nova Mamoré,13,PT,2487,1
RO,1100338,Nova Mamoré,18,REDE,24,1
RO,1100338,Nova Mamoré,17,PSL,8634,2
RO,1100338,Nova Mamoré,13,PT,2795,2
RO,1100346,Alvorada D'Oeste,27,DC,1,1
RO,1100346,Alvorada D'Oeste,15,MDB,157,1
RO,1100346,Alvorada D'Oeste,30,NOVO,72,1
RO,1100346,Alvorada D'Oeste,51,PATRIOTA,33,1
RO,1100346,Alvorada D'Oeste,12,PDT,444,1
RO,1100346,Alvorada D'Oeste,19,PODE,120,1
RO,1100346,Alvorada D'Oeste,54,PPL,1,1
RO,1100346,Alvorada D'Oeste,45,PSDB,464,1
RO,1100346,Alvorada D'Oeste,17,PSL,4120,1
RO,1100346,Alvorada D'Oeste,50,PSOL,47,1
RO,1100346,Alvorada D'Oeste,16,PSTU,7,1
RO,1100346,Alvorada D'Oeste,13,PT,2324,1
RO,1100346,Alvorada D'Oeste,18,REDE,35,1
RO,1100346,Alvorada D'Oeste,17,PSL,4729,2
RO,1100346,Alvorada D'Oeste,13,PT,2817,2
RO,1100379,Alto Alegre dos Parecis,27,DC,0,1
RO,1100379,Alto Alegre dos Parecis,15,MDB,87,1
RO,1100379,Alto Alegre dos Parecis,30,NOVO,47,1
RO,1100379,Alto Alegre dos Parecis,51,PATRIOTA,29,1
RO,1100379,Alto Alegre dos Parecis,12,PDT,337,1
RO,1100379,Alto Alegre dos Parecis,19,PODE,85,1
